,open,high,low,close,adjclose,volume,ticker
2003-09-09,73.80000305175781,74.125,72.75,72.94999694824219,50.60226058959961,165098.0,COLPAL.NS
2003-09-10,72.0,73.30000305175781,66.5,72.8499984741211,50.53290557861328,142118.0,COLPAL.NS
2003-09-11,75.0,75.0,73.0,73.2249984741211,50.79301452636719,151924.0,COLPAL.NS
2003-09-12,72.0999984741211,73.625,72.0,72.17500305175781,50.06467819213867,142994.0,COLPAL.NS
2003-09-15,72.92500305175781,72.92500305175781,71.0250015258789,71.19999694824219,49.388362884521484,120064.0,COLPAL.NS
2003-09-16,71.55000305175781,71.7249984741211,70.07499694824219,71.30000305175781,49.45774459838867,162854.0,COLPAL.NS
2003-09-17,72.0,72.25,70.32499694824219,70.625,48.989501953125,156562.0,COLPAL.NS
2003-09-18,70.9749984741211,70.9749984741211,68.125,69.82499694824219,48.434574127197266,135560.0,COLPAL.NS
2003-09-19,69.05000305175781,70.3499984741211,69.0,69.17500305175781,47.983707427978516,210516.0,COLPAL.NS
2003-09-22,69.92500305175781,69.92500305175781,67.75,68.4749984741211,47.498138427734375,236816.0,COLPAL.NS
2003-09-23,67.75,69.0,67.75,68.94999694824219,47.82763671875,224716.0,COLPAL.NS
2003-09-24,69.875,70.4749984741211,68.55000305175781,69.75,48.382564544677734,159948.0,COLPAL.NS
2003-09-25,69.5,70.92500305175781,68.75,69.0,47.86231231689453,318602.0,COLPAL.NS
2003-09-26,69.07499694824219,70.2249984741211,68.80000305175781,70.05000305175781,48.590660095214844,123800.0,COLPAL.NS
2003-09-29,69.17500305175781,70.94999694824219,69.125,70.5250015258789,48.92015075683594,158472.0,COLPAL.NS
2003-09-30,70.0999984741211,70.8499984741211,69.5250015258789,70.67500305175781,49.02419662475586,110676.0,COLPAL.NS
2003-10-01,70.625,71.0,69.80000305175781,70.42500305175781,48.85076904296875,148724.0,COLPAL.NS
2003-10-02,70.42500305175781,70.42500305175781,70.42500305175781,70.42500305175781,48.85076904296875,0.0,COLPAL.NS
2003-10-03,70.0999984741211,71.0,70.07499694824219,70.8499984741211,49.145599365234375,121866.0,COLPAL.NS
2003-10-06,71.0,72.25,70.92500305175781,71.94999694824219,49.90859603881836,179966.0,COLPAL.NS
2003-10-07,72.25,73.25,71.5,72.94999694824219,50.60226058959961,252760.0,COLPAL.NS
2003-10-08,73.0,73.4000015258789,72.0,72.5,50.29010772705078,211086.0,COLPAL.NS
2003-10-09,71.30000305175781,72.75,70.75,72.5,50.29010772705078,138394.0,COLPAL.NS
2003-10-10,72.5,73.75,72.125,73.42500305175781,50.9317512512207,224074.0,COLPAL.NS
2003-10-13,74.0,74.92500305175781,72.6500015258789,74.0250015258789,51.34795379638672,232552.0,COLPAL.NS
2003-10-14,74.0,74.8499984741211,72.75,73.9000015258789,51.26123809814453,287790.0,COLPAL.NS
2003-10-15,74.8499984741211,74.8499984741211,73.19999694824219,73.55000305175781,51.01846694946289,284922.0,COLPAL.NS
2003-10-16,74.75,75.25,73.0,73.4000015258789,50.91442108154297,396928.0,COLPAL.NS
2003-10-17,74.0,74.25,71.55000305175781,72.125,50.029991149902344,162104.0,COLPAL.NS
2003-10-20,71.0250015258789,72.5,70.0,70.125,48.642669677734375,247452.0,COLPAL.NS
2003-10-21,69.25,71.4000015258789,69.25,69.8499984741211,48.45193099975586,214650.0,COLPAL.NS
2003-10-22,69.0,70.875,69.0,69.2750015258789,48.053070068359375,156636.0,COLPAL.NS
2003-10-23,68.5,69.9000015258789,68.5,69.32499694824219,48.087745666503906,73660.0,COLPAL.NS
2003-10-24,68.75,70.19999694824219,67.8499984741211,69.8499984741211,48.45193099975586,135014.0,COLPAL.NS
2003-10-27,70.9749984741211,70.9749984741211,69.125,69.55000305175781,48.24382781982422,123540.0,COLPAL.NS
